airport_code,city,state,metro_area,facility_name,longitude,latitude,air_service,cbsa_code,cbsa_type
UNK,Unalakleet,AK,,Unalakleet,-160.79895,63.88836,1,,0
VAK,Chevak,AK,,Chevak,-165.58373,61.533640000000005,1,,0
VCT,Victoria,TX,Victoria TX,Victoria Regional,-96.91849,28.852559999999997,1,47020.0,1
VDZ,Valdez,AK,,Valdez Pioneer Field,-146.24836000000002,61.13395,1,,0
VEE,Venetie,AK,,Venetie,-146.41378,67.02269,1,,0
VEL,Vernal,UT,Vernal UT,Vernal,-109.50992,40.44092,1,46860.0,2
VGT,North Las Vegas,NV,Las Vegas-Henderson-Paradise NV,North Las Vegas Air Terminal,-115.19575,36.21167,1,29820.0,1
VIS,Visalia,CA,Visalia-Porterville CA,Visalia Muni,-119.39289,36.318670000000004,1,47300.0,1
VLD,Valdosta,GA,Valdosta GA,Valdosta Regional,-83.27672,30.7825,1,46660.0,1
VPS,Valparaiso (Eglin AFB),FL,Crestview-Fort Walton Beach-Destin FL,Okaloosa Regional Airport/Eglin AFB,-86.5254,30.48325,1,18880.0,1
WAA,Wales,AK,,Wales,-168.09917,65.62394,1,,0
WBB,Stebbins,AK,,Stebbins,-162.27799,63.515969999999996,1,,0
WBQ,Beaver,AK,,Beaver,-147.40122,66.36155,1,,0
WDG,Enid,OK,Enid OK,Enid Woodring Regional,-97.79111,36.3792,1,21420.0,2
WFB,Ketchikan,AK,Ketchikan AK,Ketchikan Harbor SPB,-131.67668999999998,55.34993000000001,1,28540.0,2
WKK,Aleknagik,AK,,Aleknagik New,-158.61767,59.28256,1,,0
WLK,Selawik,AK,,Selawik,-159.98619,66.60003,1,,0
WMK,Meyers Chuck,AK,,Meyers Chuck,-132.25502,55.73964,1,,0
WMO,White Mountain,AK,,White Mountain,-163.41276000000002,64.68919,1,,0
WNA,Napakiak,AK,,Napakiak,-161.9785,60.69033,1,,0
WRG,Wrangell,AK,,Wrangell,-132.36982,56.48433000000001,1,,0
WRL,Worland,WY,,Worland Muni,-107.95083000000001,43.965709999999994,1,,0
WSN,South Naknek,AK,,South Naknek Nr 2,-157.00825,58.70344,1,,0
WST,Westerly,RI,Providence-Warwick RI-MA,Westerly State,-71.80338,41.34962,1,39300.0,1
WSX,Westsound,WA,,Westsound Marina,-122.95268,48.61788,1,,0
WTK,Noatak,AK,,Noatak,-162.97528,67.56208000000001,1,,0
WTL,Tuntutuliak,AK,,Tuntutuliak,-162.66701,60.33535,1,,0
WWP,North Whale Pass,AK,,North Whale,-133.12171999999998,56.11631,1,,0
WWT,Newtok,AK,,Newtok,-164.65621000000002,60.92365,1,,0
WYS,West Yellowstone,MT,Bozeman MT,Yellowstone Airport,-111.11764,44.6884,1,14580.0,2
XNA,Fayetteville (Bentonville),AR,Fayetteville-Springdale-Rogers AR-MO,Nw Arkansas Regional,-94.30681,36.28187,1,22220.0,1
YAK,Yakutat,AK,,Yakutat,-139.66025,59.50331,1,,0
YKM,YAKIMA,WA,Yakima WA,Yakima Air Terminal/McAllister Field,-120.54406000000002,46.56817,1,49420.0,1
YUM,Yuma,AZ,Yuma AZ,Yuma International Airport,-114.60597,32.65658,1,49740.0,1
