"AIRPORT_CODE","CITY","STATE","METRO_AREA","FACILITY_NAME","LONGITUDE","LATITUDE","AIR_SERVICE","CBSA_CODE","CBSA_TYPE",
"","Milwaukee","WI","Milwaukee-Waukesha-West Allis WI","Water/Pleasant",-87.906160,43.051260,0,33340,1,
"","Milwaukee","WI","Milwaukee-Waukesha-West Allis WI","Brady/Prospect",-87.891000,43.052460,0,33340,1,
"","Milwaukee","WI","Milwaukee-Waukesha-West Allis WI","Kenilworth Square",-87.885320,43.058620,0,33340,1,
"","Milwaukee","WI","Milwaukee-Waukesha-West Allis WI","MIAD",-87.908170,43.031480,0,33340,1,
"","Milwaukee","WI","Milwaukee-Waukesha-West Allis WI","Ogden/Marshall",-87.900860,43.048200,0,33340,1,
"","Milwaukee","WI","Milwaukee-Waukesha-West Allis WI","Ogden/Jackson",-87.904970,43.048240,0,33340,1,
"","Milwaukee","WI","Milwaukee-Waukesha-West Allis WI","Jefferson/Menomonee",-87.904260,43.031320,0,33340,1,
"","Milwaukee","WI","Milwaukee-Waukesha-West Allis WI","Broadway/Knapp",-87.908720,43.046570,0,33340,1,
"","Milwaukee","WI","Milwaukee-Waukesha-West Allis WI","Brady/Humboldt",-87.897660,43.053040,0,33340,1,
"","Milwaukee","WI","Milwaukee-Waukesha-West Allis WI","411 East Wisconsin",-87.905340,43.038720,0,33340,1,
"","Milwaukee","WI","Milwaukee-Waukesha-West Allis WI","Water/Wisconsin",-87.909340,43.038580,0,33340,1,
"","Milwaukee","WI","Milwaukee-Waukesha-West Allis WI","US Bank Center",-87.902720,43.038860,0,33340,1,
"","Milwaukee","WI","Milwaukee-Waukesha-West Allis WI","Public Market",-87.907390,43.035190,0,33340,1,
"","Milwaukee","WI","Milwaukee-Waukesha-West Allis WI","Schlitz Park",-87.911940,43.049230,0,33340,1,
"","Milwaukee","WI","Milwaukee-Waukesha-West Allis WI","Red Arrow Park",-87.909960,43.042490,0,33340,1,
"","Milwaukee","WI","Milwaukee-Waukesha-West Allis WI","Discovery World",-87.896670,43.036900,0,33340,1,
"","Whitewater","WI","Watertown-Fort Atkinson WI","UW Whitewater - Esker Dining Hall",-88.740800,42.843300,3,48020,2,
"","Whitewater","WI","Whitewater-Elkhorn WI","UW Whitewater - Drumlin Dining Hall",-88.746600,42.840800,3,48580,2,
"","Sturtevant","WI","Racine WI","Amtrak Station",-87.905160,42.699680,3,39540,1,
"","Kenosha","WI","Chicago-Naperville-Elgin IL-IN-WI","2nd Ave",-87.814000,42.585500,0,16980,1,
"","Kenosha","WI","Chicago-Naperville-Elgin IL-IN-WI","3rd Ave",-87.815200,42.585400,0,16980,1,
"","Kenosha","WI","Chicago-Naperville-Elgin IL-IN-WI","4th Ave",-87.816400,42.585200,0,16980,1,
"","Kenosha","WI","Chicago-Naperville-Elgin IL-IN-WI","8th Ave",-87.821400,42.586700,0,16980,1,
"","Kenosha","WI","Chicago-Naperville-Elgin IL-IN-WI","5th Ave",-87.817600,42.585100,0,16980,1,
"","Kenosha","WI","Chicago-Naperville-Elgin IL-IN-WI","6th Ave",-87.818500,42.587000,0,16980,1,
"","Kenosha","WI","Chicago-Naperville-Elgin IL-IN-WI","6th Ave",-87.818800,42.584900,0,16980,1,
"","Kenosha","WI","Chicago-Naperville-Elgin IL-IN-WI","5th Ave",-87.817800,42.587100,0,16980,1,
"","Kenosha","WI","Chicago-Naperville-Elgin IL-IN-WI","7th Ave",-87.820100,42.584800,0,16980,1,
"","Kenosha","WI","Chicago-Naperville-Elgin IL-IN-WI","4th Ave",-87.816600,42.587300,0,16980,1,
"","Kenosha","WI","Chicago-Naperville-Elgin IL-IN-WI","Sheridan Rd/8th Ave",-87.821200,42.584700,0,16980,1,
"","Kenosha","WI","Chicago-Naperville-Elgin IL-IN-WI","3rd Ave",-87.815400,42.518400,0,16980,1,
"","Kenosha","WI","Chicago-Naperville-Elgin IL-IN-WI","10th Ave",-87.823600,42.584300,0,16980,1,
"","Kenosha","WI","Chicago-Naperville-Elgin IL-IN-WI","11th Ave",-87.824700,42.584500,0,16980,1,
"","Kenosha","WI","Chicago-Naperville-Elgin IL-IN-WI","2nd Ave",-87.813900,42.587600,0,16980,1,
"","Kenosha","WI","Chicago-Naperville-Elgin IL-IN-WI","11th Ave",-87.825000,42.585900,0,16980,1,
"","Kenosha","WI","Chicago-Naperville-Elgin IL-IN-WI","Public Museum",-87.812700,42.585700,0,16980,1,
"","Kenosha","WI","Chicago-Naperville-Elgin IL-IN-WI","Kenosha Metra Station",-87.825830,42.585830,0,16980,1,
"","Sheboygan","WI","Sheboygan WI","Sheboygan Transit Center",-87.713000,43.749800,3,43100,1,
"","Goerkes Corners","WI","Milwaukee-Waukesha-West Allis WI","",-88.168000,43.034600,0,33340,1,
"","Johnson Creek","WI","Watertown-Fort Atkinson WI","near Arby's at Johnson Creek Premium Outlets",-88.763181,43.090022,3,48020,2,
"","Shawano","WI","Shawano WI","22 Shell",-88.615000,44.753000,3,43020,2,
"","Wallula","WA","Walla Walla WA","",-118.907800,46.082400,0,47460,1,
"","Walla Walla","WA","Walla Walla WA","",-118.328070,46.061960,0,47460,1,
"","Walla Walla","WA","Walla Walla WA","",-118.342100,46.066200,0,47460,1,
"","Walla Walla","WA","Walla Walla WA","",-118.284500,46.087200,0,47460,1,
"","Touchet","WA","Walla Walla WA","",-118.744461,46.064386,0,47460,1,
"","Touchet","WA","Walla Walla WA","",-118.668700,46.040400,0,47460,1,
"","Burbank","WA","Walla Walla WA","",-118.997100,46.196800,0,47460,1,
"","Pasco","WA","Kennewick-Richland WA","",-119.097330,46.235706,0,28420,1,
"","Pasco","WA","Kennewick-Richland WA","Intermountain Transp Inc",-119.089000,46.236200,0,28420,1,
"","Pasco","WA","Kennewick-Richland WA","Pasco Airport",-119.115100,46.259300,1,28420,1,
"","Pasco","WA","Kennewick-Richland WA","Pasco Intermodal Station",-119.084240,46.233600,0,28420,1,
"","Spokane","WA","Spokane-Spokane Valley WA","Spokane Airport",-117.537800,47.625100,1,44060,1,
"","Spokane","WA","Spokane-Spokane Valley WA","Hastings Rd Park & Ride",-117.406600,47.768800,0,44060,1,
